,event_name,event_date,event_location,event_price,event_details,geolocation
751,Mortgage & Debt Buster for Real Estate Investors - SAN FRANCISCO,Multiple Dates CST ,"SAN FRANCISCO Zoom Online SAN FRANCISCO, CA 94109","SAN FRANCISCO • SAN FRANCISCO, CA","For serious Real Estate Investors only. If you already own real estate and planning to add more to your portfolio YOU ARE AT THE RIGHT PLACE. If you do not own real estate, or if you are a professional workshop jumper, with a problem for every solution (you know who you are) this seminar is NOT FOR YOU, please do not waste your and our time. Thank you.Click Here to RSVPhttps://tinyurl.com/financial-freedom-2023https://us02web.zoom.us/meeting/register/tZItdu6rqjksEt0XYwV3dxkwey6qt_oO9364Or Zoom Meeting ID: 860 1734 2689Must provide a correct mobile number for zoom idA﻿s a Real Estate Investor, you know thatW﻿HAT IF there's a way where you can leverage other people's money to buy more Real Estate, but pay-off that debt in 1/2 or 1/3 of the time practically eliminating the cost of debt, thus building fast equity and increasing your Real Net Worth. Would you like to learn more?➢ Without refinancing your existing mortgage➢ Without having to earn additional income➢ Without having to qualify for a loan➢ While potentially saving thousands of dollarsClick Here to RSVPhttps://tinyurl.com/financial-freedom-2023https://us02web.zoom.us/meeting/register/tZItdu6rqjksEt0XYwV3dxkwey6qt_oO9364Or Zoom Meeting ID: 860 1734 2689Must provide a correct mobile number for zoom idNew York City, Los Angeles, Chicago, Houston, Phoenix, Philadelphia, San Antonio, San Diego, Dallas, San Jose, Austin, Jacksonville, Fort Worth, Columbus, Charlotte, Indianapolis, San Francisco, Seattle, Denver, Washington, Nashville, Oklahoma City, Boston, El Paso, Portland, Las Vegas, Louisville, Memphis, Detroit, Baltimore, Milwaukee, Albuquerque, Fresno, Tucson, Sacramento, Kansas City, Mesa, Atlanta, Omaha, Colorado Springs, Raleigh, Long Beach, Virginia Beach, Miami, Oakland, Minneapolis, Tulsa, Bakersfield, Wichita, Arlington, Aurora, Tampa. New Orleans, Cleveland, Honolulu, Anaheim, Henderson, Lexington, Irvine, Stockton, Orlando, Corpus Christi, Newark, Riverside, St. Paul, Cincinnati, San Juan, Santa Ana, Greensboro, Pittsburgh, Jersey City, St. Louis, Lincoln, Durham, Anchorage, Plano, Chandler, Chula Vista, Buffalo, Gilbert, Madison, Reno, North Las Vegas, Toledo, Fort Wayne, Irving, Lubbock, St. Petersburg, Laredo, Chesapeake, Winston-Salem, Glendale, Garland, Scottsdale, Arlington, Enterprise, Boise, Santa Clarita, Norfolk, Fremont, Spokane, Richmond, Baton Rouge, San Bernardino, Tacoma, Spring Valley, Hialeah, Huntsville, Modesto, Frisco, Des Moines, Yonkers, Port St. Lucie, Moreno Valley, Worcester, Rochester, Fontana, Columbus, Fayetteville, Sunrise Manor, McKinney, Little Rock, Augusta, Oxnard, Salt Lake City, Amarillo, Overland Park, Cape Coral, Grand Rapids, Huntington Beach, Sioux Falls, Grand Prairie, Montgomery, Tallahassee, Birmingham, Peoria, Glendale, Vancouver, Providence, Knoxville, Brownsville, Akron, Newport News, Fort Lauderdale, Mobile, Shreveport, Paradise, Tempe, Chattanooga, Cary, Eugene, Elk Grove, Santa Rosa, Salem, Ontario, Aurora, Lancaster, Rancho Cucamonga, Oceanside, Fort Collins, Pembroke Pines, Clarksville, Palmdale, Garden Grove, Springfield, Hayward, Salinas, Alexandria, Paterson, Murfreesboro, Bayamon, Sunnyvale, Kansas City, Lakewood, Killeen, Corona, Bellevue, Springfield, Charleston, Macon, Hollywood, Roseville, Pasadena, Escondido, Pomona, Mesquite, Naperville, Joliet, Savannah, Jackson, Bridgeport, Syracuse, Surprise, Rockford,, Torrance, Thornton, Kent, Fullerton, Denton, Visalia",POINT (37.803649 -122.418256)
752,Housing Facilities Job Fair,"Wed, February 22, 2023, 10:00 AM – 2:00 PM PST","2610 Channing Way 2610 Channing Way Berkeley, CA 94704","2610 Channing Way • Berkeley, CA","On-site interviews will be available throughout the day (10am-2pm) for our Summer Custodian positions. Our teams will be accepting applications on-site, just bring your resume and any questions you may have.  You can also apply in advance by clicking on this link . Application instructions are available in English and Spanish on our website. Scan the QR code for additional information.",POINT (37.867176 -122.256363)
753,Rhythm & Barre,Multiple Dates PST ,"800 Innes Ave 800 Innes Avenue #11 San Francisco, CA 94124","800 Innes Ave • San Francisco, CA","Rhythm & Barre is our signature movement class that couples Flower + FitnessBarre is a full-body workout inspired by ballet, pilates, and yoga principles. Our signature R&B class is designed to lengthen and strengthen the body with small movements in high repetitions to the beat of music.",POINT (37.730518 -122.372781)
754,Yoga for Self-Care and Chronic Pain,"Tue, Feb 21, 2023, 5:30 PM PST","Berkeley Yoga Center 2121 Bonar Street Berkeley, CA 94702","Berkeley Yoga Center • Berkeley, CA","Yoga for Self-Care & Chronic Pain is the nurturing class that your mind and body has craved. Gentle and restorative, this class is designed to guide those with chronic pain through soft movements and nourishing relaxation. For those who have taken yoga in the past, this class is similar to a hatha and restorative yoga combination.Class will begin with a grounding, then move through a series of standing and seated poses, and end with restorative yoga using blankets, bolsters, and props. Students are encouraged to listen carefully to their bodies and move in a way that makes sense for them. All shapes, poses, and movements will look different for each person.Learn and understand more about what chronic pain is, and why graded exposure, mindful exercises, yoga, and meditation can make a big impact. These techniques were pivotal in my own healing journey, and I am thrilled to gently weave these techniques into this delicious class!This class is beneficial for ANYONE who wants to invite self care into their lives, whether they have chronic illness/pain or not. Let's build community and support each other! L﻿OCATIONB﻿erkeley Yoga Center. Entrance on Bonar St. Door will open at 5:25pm (Up the stairs on the right)C﻿ONTACTI﻿g: @allyenglish.coE﻿mail: info@allyenglish.co *﻿No refunds*﻿Pre-registration is required",POINT (37.8682029 -122.2870547)
755,The Soul Poetry Workshop,"Multiple Dates Wed, Apr 26, 2023, 7:30 PM PST","Bridge Storage and Artspace 23 Maine Avenue Richmond, CA 94804","Bridge Storage and Artspace • Richmond, CA",In Person & Virtual- 2nd & 4th Wednesdays of the MonthStrictly Virtual- 1st & 3rd Wednesdays of the MonthThe Soul Poetry Workshop🫰🏾Writing Support🫰🏾Finding your Voice as a Poet 🫰🏾Owning your Story 🫰🏾Joining a Writers Community 🫰🏾Self Publishing Support 🫰🏾Performance Support,POINT (37.928131 -122.369122)
756,Bonita The Bumble Bee's S.T.E.A.M. Fair Celebrates Black History,"Sat, February 25, 2023, 10:00 AM – 3:00 PM PST","1183 10th St 1183 10th Street Oakland, CA 94607","1183 10th St • Oakland, CA",B﻿onita The Bumble Bee will make appearances at this buzzing event!  Come buzz with us!  Buzz!  Buzz!! Buzz!!!,POINT (37.806575 -122.287357)
757,Drumbini: Music Classes for Parents and Kids,"Multiple Dates Tue, Jul 11, 2023, 6:00 PM PDT","Place For Sustainable Living 1121 64th Street Oakland, CA 94608","Place For Sustainable Living • Oakland, CA","Parents, come join the cutest music class in the bay area with your kids. Drumbini: Music classes for parents and kids. Open to all ages, join us every Tuesday from 5pm-6pm @PLACE.community. Drop in $20.This class is brought to you by the Saude: Herbs, Yoga & Peace Center. You can follow them at: https://linktr.ee/saudewellnessLearn more about PLACE from: https://linktr.ee/placecommunity#SaudeWellness #PLACECommunity",POINT (37.846278 -122.285316)
758,Micro Market Spaces Oakland,"Multiple Dates Sat, Apr 29, 2023, 7:00 PM PST","977 Broadway 977 Broadway Oakland, CA 94607","977 Broadway • Oakland, CA","Micro Market Spaces features multiple merchants within one space for visitors to shop, connect, learn and discover. Stop by and visit us Wednesday to Saturday, operating hours are normally 11am til 7 pm.Micro Market Spaces is an initiative created by the team at Sanctuary for Sustainable Artistry with a focus on bringing life to aging groundfloor vacancies throughout the Bay Area and Sacramento.",POINT (37.801478 -122.273231)
759,Brainstormer Trivia with Dave!,"Multiple Dates Tue, May 16, 2023, 8:00 PM PDT","Public Market Emeryville 5959 Shellmound Street Emeryville, CA 94608","Public Market Emeryville • Emeryville, CA","Bring a team or come on your own to play! Quizmaster Dave will test your knowledge of movies, pop culture, general trivia, geography, events in the news, music, and more! And, did we mention … there will be amazing prizes?Check out the bonus question each week for a chance to win a cool prize. Click HERE to see the bonus question. No need to show your ticket to the host. Just grab a seat when you arrive!We're looking forward to seeing you each and any Tuesday for trivia and delicious food + drinks from our food hall purveyors.Scroll down to see just a few of our lovely and loyal trivia teams!",POINT (37.8412912 -122.2938432)
760,Afraid Of Public Speaking? FREE Virtual class to Banish Anxiety and Fears,"Multiple Dates Sat., 01/02/2025, 4:30 pm Pacific Standard Time","San Francisco San Francisco San Francisco, CA 94102","San Francisco • San Francisco, CA","B﻿anish the nerves and speak with confidence.If you feel presenting is daunting, then you are in the right place. Now you can learn how to be a confident presenter at a fraction of the cost.Glossophobia, or a fear of public speaking, is a very common phobia and one that is believed to affect up to 75% of the population. Some individuals may feel a slight nervousness at the very thought of public speaking, while others experience full-on panic and fear. They may try to avoid public speaking situations at all costs or if they must speak in public, they endure shaking hands and a weak, quavering voice.Wanna know the good news? It’s entirely possible to beat Glossophobia with the gradual and systematic exposure technique that we take you through in these 8 session series.Y﻿ou can generate the Free Zoom Class Pass by Visiting this link-  https://publicspeakingdomination.com/We help you overcome public speaking anxiety with our step-by-step, gradual exposure program in front of a live audience by building confidence and certainty.Please do not get intimidated by other speakers who come across as very confident. Just remember they also started from where you are starting. Everyone goes at their pace and follows the plan.T﻿his One FREE Virtual class pass is for you to see if this US $399/8 session series is right for you.W﻿e have designed this 8-class series that will make you a confident presenter who uses gestures to amplify the speech, takes needed pauses and breathes normally while speaking.W﻿HAT MAKE US DIFFERENT-Exercises are designed to overcome any fear, anxiety or panic episodes in manageable steps.W﻿e do not teach everything in one day. The whole process is gradual exposure and task completion exercises in a supportive environment. N﻿o root cause analysis or past life data is taken into consideration. We walk you through a step by step actionable process that gets you the result you are looking for.A﻿for your presentation, the coach will guide you on the adjustments and tweaks needed. No harsh criticism is passed, it's a supportive environment for every student to thrive.HOW DOES IT WORK-We can all agree on one thing- when it comes to speaking, you can have different needs and different levels of anxiety. With our gradual exposure techniques, you become confident in presenting your thoughts, ideas and speech to a group of people.W﻿e have different exercises for every session intended for the desired outcome which will make you a confident presenter and help you to face the fears in real-life scenarios in manageable steps.A﻿ll the sessions are virtual, which helps you to present things in a comfortable environment.Public speaking skills is an asset for life and you can apply it any aspect of life or business, eg. Facebook live, Youtube content creation, job interview, group discussion, business presentation, sales, negotiations, university interviews, recording programs, zoom meetings, keynote speech, speaking from the stage, wedding speech etc.Y﻿OUR FREE INVITE-I﻿ would like to invite you for a FREE NO OBLIGATION class to see for yourself if it is the right investment for you.N﻿o need to be nervous and feel anxious about being in the spotlight. The first class is an observation-only class, followed by a personal consultation.Reserve your spots today. Limited to 30 participants for quality reasons.Transforming you into a confident speaker is our thing.",POINT (37.7627257 -122.4582568)
